URL,Response Code,News Error,Detected,Category,Platform,Last crawled
https://www.lehmans.com/p-437-steel-nutcracker.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-3290-lodge-logic-cast-iron-combo-cooker.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-1784-handcrafted-solid-oak-step-stool.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-8642-glass-pint-milk-bottles.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-4948-old-time-knitted-dishcloths.aspx?pageNum=1&,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-3425-lodge-logic-cast-iron-wok.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-17-amish-table-lamp.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-214-medicated-bismoline-powder.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-1648-peppermint-and-spearmint-tea.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-2129-blue-mason-jar-soap-dispenser.aspx?OrderBy=6&show=all,404,,7/1/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-174-oval-to-round-adapter-wood-stove-chimney-pipe.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-356-tripod-shade-holders.aspx?pageNum=1,404,,7/2/16,Not found,Desktop,7/2/16
https://www.lehmans.com/c-463-warehouse-sale.aspx?view=lst,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-326-reusable-canning-jar-lids-regular.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-502-embossed-cow-butter-dish.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
